epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1074,1.0894,1.14553,1.25702,0.76509,0.81067,0.81046,0.52544,1.19118,1.15849,1.36628,0.00065873,0.00065873,0.00065873
2,58.7159,1.13263,0.93693,1.28742,0.46167,0.59971,0.53309,0.33339,1.29928,2.56627,1.48276,0.00129915,0.00129915,0.00129915
3,80.374,1.14626,0.90617,1.2923,0.67838,0.71228,0.73796,0.47351,1.2567,1.10551,1.40172,0.00191318,0.00191318,0.00191318
4,99.6989,1.16314,0.94412,1.30705,0.73428,0.74964,0.79149,0.5193,1.19728,0.96548,1.37396,0.0018812,0.0018812,0.0018812
5,127.48,1.13772,0.88917,1.2859,0.78694,0.75837,0.8431,0.55624,1.20209,0.91365,1.36459,0.0018416,0.0018416,0.0018416
6,155.54,1.1084,0.82776,1.26132,0.78547,0.84739,0.85464,0.56349,1.19758,0.91275,1.35729,0.001802,0.001802,0.001802
7,183.656,1.10705,0.84461,1.27266,0.74155,0.83552,0.8503,0.5813,1.15631,0.81788,1.29135,0.0017624,0.0017624,0.0017624
8,211.548,1.06463,0.77238,1.23434,0.79159,0.81271,0.86839,0.59971,1.15144,0.76982,1.31583,0.0017228,0.0017228,0.0017228
9,239.573,1.06682,0.76968,1.23969,0.77626,0.82096,0.85418,0.5845,1.12067,0.85608,1.276,0.0016832,0.0016832,0.0016832
10,267.367,1.05831,0.75631,1.22653,0.77846,0.82862,0.87193,0.60651,1.11804,0.89719,1.30202,0.0016436,0.0016436,0.0016436
11,295.481,1.04036,0.76051,1.22366,0.78944,0.84279,0.87866,0.60827,1.11776,0.71623,1.27631,0.001604,0.001604,0.001604
12,323.639,1.03692,0.75416,1.22606,0.78496,0.84862,0.88517,0.61888,1.10088,0.79639,1.27296,0.0015644,0.0015644,0.0015644
13,342.748,1.027,0.72548,1.20466,0.78619,0.8617,0.88762,0.62458,1.09012,0.7176,1.26348,0.0015248,0.0015248,0.0015248
14,363.301,1.03212,0.73435,1.21639,0.79551,0.8664,0.89363,0.63859,1.06994,0.68703,1.24189,0.0014852,0.0014852,0.0014852
15,390.863,1.03993,0.72103,1.21578,0.81943,0.82533,0.89317,0.63584,1.06327,0.73709,1.24404,0.0014456,0.0014456,0.0014456
16,418.581,1.01399,0.70569,1.20144,0.79132,0.85002,0.88951,0.62609,1.09884,0.70938,1.26244,0.001406,0.001406,0.001406
17,446.116,1.01226,0.6919,1.20234,0.79472,0.88355,0.90064,0.64184,1.07637,0.69379,1.25202,0.0013664,0.0013664,0.0013664
18,473.509,1.00125,0.67063,1.20054,0.79947,0.869,0.90598,0.64571,1.04285,0.66769,1.22025,0.0013268,0.0013268,0.0013268
19,501.182,0.99656,0.67408,1.19425,0.78173,0.87191,0.8941,0.64514,1.04356,0.70519,1.24392,0.0012872,0.0012872,0.0012872
20,528.509,0.98705,0.65787,1.18777,0.81689,0.86366,0.90422,0.6455,1.04728,0.65951,1.22811,0.0012476,0.0012476,0.0012476
21,555.975,0.97913,0.65328,1.18027,0.80202,0.8609,0.89459,0.64419,1.05904,0.67057,1.23215,0.001208,0.001208,0.001208
22,583.482,0.97362,0.65197,1.1676,0.83364,0.84716,0.90234,0.64533,1.04191,0.65877,1.22277,0.0011684,0.0011684,0.0011684
23,600.959,0.95658,0.6343,1.16982,0.82979,0.84445,0.90854,0.64955,1.04017,0.64194,1.2207,0.0011288,0.0011288,0.0011288
24,622.723,0.95977,0.6196,1.16842,0.84406,0.84716,0.90772,0.65558,1.04,0.64091,1.21389,0.0010892,0.0010892,0.0010892
25,650.459,0.95625,0.64783,1.16012,0.81227,0.85881,0.89527,0.65116,1.03099,0.67868,1.2158,0.0010496,0.0010496,0.0010496
26,677.744,0.95262,0.61979,1.15332,0.82588,0.87918,0.91378,0.66181,1.03736,0.61919,1.22066,0.00101,0.00101,0.00101
27,705.283,0.95954,0.62504,1.16558,0.85536,0.82533,0.9076,0.65905,1.05168,0.63314,1.22336,0.0009704,0.0009704,0.0009704
28,732.748,0.93127,0.59783,1.14699,0.84474,0.86322,0.91741,0.65878,1.04435,0.61749,1.23087,0.0009308,0.0009308,0.0009308
29,760.703,0.94511,0.59955,1.15854,0.82075,0.87482,0.90693,0.65927,1.02865,0.63841,1.21625,0.0008912,0.0008912,0.0008912
30,788.871,0.94032,0.57296,1.16625,0.84809,0.8695,0.91934,0.66311,1.01795,0.60197,1.22692,0.0008516,0.0008516,0.0008516
31,816.323,0.9232,0.57798,1.15394,0.82411,0.8934,0.9167,0.66771,1.03113,0.59953,1.22279,0.000812,0.000812,0.000812
32,845.258,0.91713,0.58581,1.14401,0.82616,0.86463,0.90466,0.66164,1.03185,0.63207,1.222,0.0007724,0.0007724,0.0007724
33,861.91,0.934,0.59053,1.15471,0.81319,0.88792,0.9151,0.66952,1.03059,0.59291,1.19743,0.0007328,0.0007328,0.0007328
34,885.014,0.90702,0.57546,1.13778,0.83062,0.85153,0.91236,0.66933,1.03246,0.61594,1.21376,0.0006932,0.0006932,0.0006932
35,913.456,0.89555,0.56107,1.13844,0.80816,0.88913,0.91154,0.66112,1.03569,0.60012,1.2219,0.0006536,0.0006536,0.0006536
36,940.945,0.90171,0.56098,1.14039,0.83399,0.86286,0.91077,0.65982,1.04643,0.61126,1.22862,0.000614,0.000614,0.000614
37,968.416,0.89714,0.55226,1.13804,0.81613,0.87866,0.90822,0.66213,1.00768,0.59871,1.19852,0.0005744,0.0005744,0.0005744
38,995.918,0.89677,0.55277,1.1325,0.86346,0.8561,0.91739,0.66401,1.01637,0.59237,1.22058,0.0005348,0.0005348,0.0005348
39,1023,0.87922,0.53196,1.12124,0.82488,0.89374,0.91548,0.67645,1.01537,0.57038,1.20943,0.0004952,0.0004952,0.0004952
40,1050.46,0.85672,0.52169,1.11082,0.80388,0.9083,0.9165,0.675,1.01072,0.57705,1.21118,0.0004556,0.0004556,0.0004556
41,1078.29,0.86032,0.50211,1.13171,0.86048,0.87045,0.92738,0.67968,1.02387,0.58545,1.22872,0.000416,0.000416,0.000416
42,1106.05,0.85042,0.49249,1.11544,0.83837,0.87582,0.91296,0.67088,1.01244,0.59393,1.20662,0.0003764,0.0003764,0.0003764
