epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5626,1.81153,2.04138,2.46004,0.69272,0.69474,0.70736,0.44743,1.24543,1.22872,1.54865,0.000649123,0.000649123,0.000649123
2,24.2887,1.11195,0.89244,1.42194,0.72218,0.86316,0.81568,0.58881,1.08599,0.80218,1.36579,0.00128974,0.00128974,0.00128974
3,31.4125,1.01463,0.76577,1.31289,0.70329,0.79841,0.80878,0.58632,1.00582,0.78685,1.29842,0.00190395,0.00190395,0.00190395
4,39.1741,0.94452,0.71619,1.26209,0.73085,0.8432,0.84073,0.60425,1.0129,0.73415,1.32053,0.0018812,0.0018812,0.0018812
5,52.0657,0.93753,0.68772,1.25859,0.74553,0.80182,0.83687,0.62626,0.949,0.72141,1.29424,0.0018416,0.0018416,0.0018416
6,64.9208,0.91633,0.65451,1.24273,0.79176,0.91053,0.86864,0.65768,0.96014,0.63757,1.26948,0.001802,0.001802,0.001802
7,77.7628,0.9058,0.64489,1.23017,0.78083,0.91879,0.90298,0.67319,0.96817,0.68306,1.28802,0.0017624,0.0017624,0.0017624
8,90.6084,0.89754,0.62844,1.23326,0.77605,0.9,0.90648,0.68344,0.92215,0.63021,1.24177,0.0017228,0.0017228,0.0017228
9,103.451,0.88645,0.61946,1.21463,0.7749,0.85154,0.89331,0.67235,0.97428,0.67623,1.28268,0.0016832,0.0016832,0.0016832
10,115.89,0.91161,0.59806,1.21581,0.80233,0.88947,0.89627,0.66759,0.97546,0.62659,1.28458,0.0016436,0.0016436,0.0016436
11,128.384,0.85169,0.57071,1.18058,0.82797,0.88658,0.89677,0.67157,0.9316,0.68004,1.24619,0.001604,0.001604,0.001604
12,141.225,0.8817,0.58989,1.19977,0.81215,0.91016,0.89449,0.68146,0.90418,0.61569,1.24621,0.0015644,0.0015644,0.0015644
13,154.036,0.83982,0.5833,1.19342,0.75568,0.89535,0.88001,0.66621,0.95299,0.65523,1.23252,0.0015248,0.0015248,0.0015248
14,166.485,0.84033,0.56166,1.17326,0.83028,0.84965,0.90202,0.68554,0.96589,0.62632,1.2609,0.0014852,0.0014852,0.0014852
15,179.309,0.88277,0.56723,1.19437,0.85146,0.87495,0.93104,0.70508,0.92031,0.60664,1.24414,0.0014456,0.0014456,0.0014456
16,192.16,0.85273,0.56033,1.18267,0.84099,0.89077,0.93504,0.71263,0.92837,0.56622,1.24766,0.001406,0.001406,0.001406
17,204.999,0.82898,0.54101,1.18034,0.82802,0.88694,0.92801,0.70576,0.92112,0.58506,1.26168,0.0013664,0.0013664,0.0013664
18,217.471,0.84997,0.57689,1.18555,0.7727,0.87673,0.90822,0.69888,0.90904,0.5962,1.2036,0.0013268,0.0013268,0.0013268
19,229.974,0.83466,0.55027,1.17644,0.78878,0.9238,0.92419,0.703,0.9548,0.63066,1.2778,0.0012872,0.0012872,0.0012872
20,242.796,0.83682,0.55637,1.17472,0.78146,0.90337,0.90127,0.68275,0.92466,0.58501,1.248,0.0012476,0.0012476,0.0012476
21,255.269,0.84472,0.53848,1.17611,0.86757,0.86842,0.92213,0.70301,0.92093,0.54158,1.24791,0.001208,0.001208,0.001208
22,267.938,0.78336,0.52294,1.13814,0.75787,0.93158,0.90094,0.6727,0.95526,0.63707,1.29025,0.0011684,0.0011684,0.0011684
23,278.412,0.81395,0.51705,1.16229,0.83923,0.88947,0.93101,0.70155,0.95431,0.5716,1.24224,0.0011288,0.0011288,0.0011288
24,285.536,0.7879,0.51466,1.14687,0.75783,0.88938,0.90121,0.68712,0.92899,0.59928,1.24326,0.0010892,0.0010892,0.0010892
25,291.492,0.78072,0.49819,1.12507,0.85026,0.90526,0.9403,0.70018,0.91126,0.59267,1.25386,0.0010496,0.0010496,0.0010496
26,303.981,0.7821,0.49718,1.13595,0.81508,0.88153,0.91729,0.69862,0.91233,0.59494,1.23933,0.00101,0.00101,0.00101
27,316.555,0.7984,0.50562,1.14135,0.81844,0.87782,0.925,0.709,0.8901,0.56765,1.22003,0.0009704,0.0009704,0.0009704
28,329.008,0.79224,0.50648,1.12375,0.78135,0.90526,0.92515,0.71435,0.89658,0.57897,1.19896,0.0009308,0.0009308,0.0009308
29,341.833,0.77662,0.49672,1.12434,0.84696,0.82105,0.89855,0.6861,0.89618,0.61412,1.20523,0.0008912,0.0008912,0.0008912
30,354.3,0.76759,0.47597,1.12954,0.79126,0.90526,0.92418,0.71127,0.94069,0.56923,1.25073,0.0008516,0.0008516,0.0008516
31,367.107,0.74439,0.45458,1.11255,0.81383,0.88947,0.92881,0.71087,0.88304,0.55034,1.22523,0.000812,0.000812,0.000812
32,379.968,0.74937,0.45862,1.12049,0.78013,0.90526,0.9248,0.71653,0.88463,0.5999,1.22827,0.0007724,0.0007724,0.0007724
33,392.807,0.73613,0.45368,1.11683,0.80366,0.86842,0.92363,0.71606,0.8533,0.57384,1.2118,0.0007328,0.0007328,0.0007328
34,405.31,0.72359,0.45058,1.11036,0.83896,0.80526,0.91168,0.69373,0.91271,0.63173,1.25328,0.0006932,0.0006932,0.0006932
35,418.124,0.72474,0.42662,1.10277,0.7788,0.90799,0.91285,0.707,0.88357,0.63203,1.23358,0.0006536,0.0006536,0.0006536
36,430.954,0.71259,0.44217,1.09405,0.82675,0.90526,0.90713,0.68305,0.9213,0.60474,1.28023,0.000614,0.000614,0.000614
