epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6795,1.61739,1.53739,1.26388,0.7913,0.59882,0.69199,0.36165,1.65182,1.11925,1.27507,0.000655556,0.000655556,0.000655556
2,30.4139,1.42821,0.89697,1.13182,0.80314,0.7218,0.79819,0.47489,1.53047,0.86985,1.17814,0.00129604,0.00129604,0.00129604
3,50.1603,1.38522,0.84163,1.11549,0.81191,0.6497,0.77031,0.4558,1.57535,0.89277,1.15862,0.00191013,0.00191013,0.00191013
4,70.6027,1.37894,0.8261,1.10584,0.8248,0.7159,0.82007,0.49262,1.43281,0.85543,1.14375,0.0018812,0.0018812,0.0018812
5,90.7797,1.36943,0.79575,1.10417,0.8145,0.75866,0.84185,0.50074,1.45339,0.83213,1.1532,0.0018416,0.0018416,0.0018416
6,111.223,1.34595,0.78489,1.09439,0.83146,0.76483,0.84657,0.50413,1.43785,0.8002,1.15605,0.001802,0.001802,0.001802
7,131.434,1.32747,0.76603,1.09047,0.84217,0.76726,0.8612,0.52966,1.41132,0.78119,1.13024,0.0017624,0.0017624,0.0017624
8,151.63,1.31268,0.74981,1.08207,0.83246,0.76439,0.85822,0.52284,1.40763,0.7746,1.11338,0.0017228,0.0017228,0.0017228
9,171.805,1.29922,0.73143,1.07066,0.81588,0.7716,0.84868,0.51994,1.44275,0.80037,1.1303,0.0016832,0.0016832,0.0016832
10,191.957,1.29989,0.71901,1.07244,0.84474,0.78817,0.87365,0.534,1.37974,0.7653,1.11869,0.0016436,0.0016436,0.0016436
11,212.189,1.29094,0.72055,1.06803,0.83082,0.73964,0.84558,0.5105,1.41716,0.87593,1.14578,0.001604,0.001604,0.001604
12,232.334,1.2817,0.71307,1.06074,0.85672,0.80313,0.88447,0.54778,1.35999,0.74305,1.10232,0.0015644,0.0015644,0.0015644
13,252.513,1.26145,0.69216,1.05623,0.87116,0.78225,0.88701,0.5511,1.39209,0.72232,1.12079,0.0015248,0.0015248,0.0015248
14,272.715,1.28334,0.71141,1.06081,0.82605,0.78343,0.86569,0.54261,1.38866,0.75951,1.11133,0.0014852,0.0014852,0.0014852
15,285.178,1.25718,0.67761,1.06069,0.83449,0.81183,0.8866,0.55627,1.36095,0.72446,1.10624,0.0014456,0.0014456,0.0014456
16,297.721,1.26711,0.67803,1.05609,0.84993,0.79882,0.88696,0.54559,1.37749,0.73106,1.09163,0.001406,0.001406,0.001406
17,317.862,1.24569,0.66693,1.05465,0.85838,0.78757,0.88399,0.55093,1.40633,0.72241,1.12548,0.0013664,0.0013664,0.0013664
18,338.138,1.25806,0.66225,1.05357,0.83281,0.79285,0.87332,0.53808,1.41073,0.73142,1.14809,0.0013268,0.0013268,0.0013268
19,358.324,1.24385,0.66374,1.04632,0.84306,0.80355,0.87477,0.54221,1.40464,0.72014,1.12515,0.0012872,0.0012872,0.0012872
20,378.506,1.23176,0.65688,1.04052,0.82624,0.82071,0.88762,0.55205,1.37778,0.71763,1.11442,0.0012476,0.0012476,0.0012476
21,398.729,1.24208,0.65162,1.04537,0.86902,0.80592,0.88817,0.56484,1.37027,0.69482,1.09887,0.001208,0.001208,0.001208
22,418.908,1.21987,0.64627,1.04052,0.86728,0.80427,0.8956,0.56873,1.3641,0.69645,1.11507,0.0011684,0.0011684,0.0011684
23,439.084,1.21179,0.64232,1.03838,0.83184,0.81369,0.87448,0.53929,1.39433,0.70968,1.13055,0.0011288,0.0011288,0.0011288
24,459.264,1.20963,0.63029,1.02923,0.8629,0.78209,0.88126,0.55785,1.37008,0.70315,1.11919,0.0010892,0.0010892,0.0010892
25,479.421,1.19016,0.6306,1.03131,0.86712,0.80947,0.89417,0.56963,1.35143,0.68211,1.10384,0.0010496,0.0010496,0.0010496
26,499.596,1.18633,0.61087,1.02142,0.86667,0.80769,0.89977,0.57706,1.34989,0.66283,1.09573,0.00101,0.00101,0.00101
27,519.787,1.19673,0.62317,1.02687,0.85936,0.82249,0.89337,0.56143,1.35641,0.69438,1.08918,0.0009704,0.0009704,0.0009704
28,538.071,1.16514,0.61111,1.02169,0.87722,0.7948,0.90066,0.57176,1.35323,0.67875,1.10901,0.0009308,0.0009308,0.0009308
29,549.149,1.18812,0.6113,1.01863,0.83565,0.82739,0.89376,0.56112,1.34975,0.6922,1.09588,0.0008912,0.0008912,0.0008912
30,567.018,1.17537,0.61194,1.01706,0.86131,0.82318,0.90674,0.58089,1.33549,0.66082,1.09878,0.0008516,0.0008516,0.0008516
31,587.636,1.17484,0.60597,1.02279,0.8548,0.8213,0.9032,0.5682,1.36628,0.67065,1.11482,0.000812,0.000812,0.000812
32,607.835,1.15317,0.5936,1.01264,0.85894,0.83232,0.9014,0.5772,1.32627,0.6606,1.09068,0.0007724,0.0007724,0.0007724
33,628.03,1.16226,0.59939,1.01191,0.85153,0.81479,0.89707,0.57891,1.32264,0.69017,1.09475,0.0007328,0.0007328,0.0007328
34,648.213,1.1655,0.60013,1.01343,0.8647,0.82815,0.9025,0.58051,1.32205,0.66391,1.09752,0.0006932,0.0006932,0.0006932
35,668.145,1.14237,0.57626,1.01432,0.85535,0.82959,0.90162,0.5863,1.32644,0.65428,1.09056,0.0006536,0.0006536,0.0006536
36,688.577,1.16159,0.58976,1.00814,0.86122,0.84911,0.90976,0.58631,1.313,0.64383,1.09936,0.000614,0.000614,0.000614
37,708.785,1.12942,0.56679,1.0091,0.86584,0.83609,0.90876,0.58269,1.31792,0.6532,1.09822,0.0005744,0.0005744,0.0005744
38,728.937,1.13097,0.57031,1.00551,0.85875,0.83787,0.90447,0.57966,1.32715,0.65166,1.08527,0.0005348,0.0005348,0.0005348
39,749.119,1.11689,0.56102,0.99928,0.8607,0.83195,0.90574,0.58338,1.32332,0.64232,1.09618,0.0004952,0.0004952,0.0004952
40,769.287,1.10681,0.55248,0.9928,0.88282,0.82959,0.91179,0.59207,1.31921,0.6285,1.09967,0.0004556,0.0004556,0.0004556
41,789.789,1.11877,0.55367,1.00925,0.87558,0.83284,0.91032,0.59099,1.31837,0.63792,1.10184,0.000416,0.000416,0.000416
42,802.641,1.10392,0.54072,0.99773,0.84196,0.85562,0.90853,0.58583,1.32691,0.64116,1.11481,0.0003764,0.0003764,0.0003764
43,815.363,1.1025,0.53497,0.99672,0.85653,0.84782,0.90874,0.5897,1.32443,0.63366,1.09062,0.0003368,0.0003368,0.0003368
44,835.473,1.10145,0.53718,0.99792,0.86511,0.83491,0.91026,0.59133,1.30657,0.63391,1.09474,0.0002972,0.0002972,0.0002972
45,855.531,1.07906,0.52352,0.99301,0.87109,0.82767,0.90758,0.58313,1.33461,0.64114,1.10548,0.0002576,0.0002576,0.0002576
46,875.609,1.0831,0.52514,0.98997,0.86815,0.84938,0.9164,0.59849,1.29412,0.61998,1.08857,0.000218,0.000218,0.000218
47,895.686,1.06329,0.50932,0.9898,0.86441,0.86011,0.91844,0.59792,1.30213,0.62484,1.09028,0.0001784,0.0001784,0.0001784
48,915.747,1.05899,0.5055,0.98463,0.8728,0.8355,0.91455,0.59746,1.29798,0.62374,1.09031,0.0001388,0.0001388,0.0001388
49,935.819,1.0562,0.50761,0.98037,0.85992,0.85723,0.91979,0.59978,1.29903,0.6166,1.09208,9.92e-05,9.92e-05,9.92e-05
50,955.907,1.05729,0.50366,0.98276,0.85848,0.85562,0.91838,0.59963,1.30326,0.62107,1.09773,5.96e-05,5.96e-05,5.96e-05
